Year,Month,Minimum Monthly Rainfall(mm),Maximum Monthly Rainfall(mm),Total Rainfall(mm)
2005,8,0.00,38.00,72.20
2005,9,0.00,0.00,0.00
2005,10,0.00,13.00,41.80
2005,11,0.00,20.00,73.10
2005,12,0.00,38.60,71.20
2006,1,0.00,86.00,496.80
2006,2,0.00,29.60,125.20
2006,3,0.00,82.00,415.20
2006,4,0.00,84.60,384.20
2006,5,0.00,30.00,95.20
2006,6,0.00,10.00,28.20
2006,7,0.00,11.00,37.60
2006,8,0.00,0.80,0.80
2006,9,0.00,53.60,109.80
2006,10,0.00,28.00,39.00
2006,11,0.00,3.00,6.60
2006,12,0.00,26.00,119.40
2007,1,0.00,146.00,414.00
2007,2,0.00,230.00,932.20
2007,3,0.00,107.40,245.00
2007,4,0.00,11.00,25.40
2007,5,0.00,6.00,20.40
2007,6,0.00,26.40,104.00
2007,7,0.00,0.00,0.00
2007,8,0.00,4.00,9.60
2007,9,0.00,5.00,6.00
2007,10,0.00,16.40,49.60
2007,11,0.00,37.80,163.60
2007,12,0.00,73.40,295.80
2008,1,0.00,81.00,569.80
2008,2,0.00,176.00,531.20
2008,3,0.00,26.00,110.40
2008,4,0.00,7.00,15.20
2008,5,0.00,15.00,54.00
2008,6,0.00,2.00,3.00
2008,7,0.00,44.30,109.90
2008,8,0.00,0.00,0.00
2008,9,0.00,38.60,87.20
2008,10,0.00,13.00,43.20
2008,11,0.00,166.00,314.30
2008,12,0.00,130.00,243.80
2009,1,1.00,277.40,1172.40
2009,2,0.00,202.00,1152.00
2009,3,0.00,84.00,184.80
2009,4,0.00,82.00,247.40
2009,5,0.00,6.00,21.60
2009,6,0.00,2.00,2.00
2009,7,0.00,1.00,1.00
2009,8,0.00,0.00,0.00
2009,9,0.00,7.40,21.00
2009,10,0.00,46.00,73.60
2009,11,0.00,59.00,129.20
2009,12,0.00,151.00,169.00
2010,1,0.00,72.00,548.00
2010,2,0.00,111.00,494.80
2010,3,0.00,125.00,303.40
2010,4,0.00,47.80,147.00
2010,5,0.00,2.00,5.20
2010,6,0.00,36.00,39.80
2010,7,0.00,3.00,12.40
2010,8,0.00,49.00,60.40
2010,9,0.00,20.00,84.60
2010,10,0.00,83.40,226.40
2010,11,0.00,129.00,543.00
2010,12,0.00,110.00,539.40
2011,1,0.00,129.00,588.70
2011,2,0.00,235.00,612.00
2011,3,0.00,235.00,1204.40
2011,4,0.00,16.00,63.80
2011,5,0.00,17.00,30.50
2011,6,0.00,8.60,18.80
2011,7,0.00,16.60,25.20
2011,8,0.00,20.00,32.00
2011,9,0.00,2.00,3.80
2011,10,0.00,39.00,62.40
2011,11,0.00,16.40,50.80
2011,12,0.00,117.00,428.80
2012,1,0.00,59.00,292.80
2012,2,0.00,156.00,675.80
2012,3,0.00,175.00,1047.40
2012,4,0.00,6.40,14.00
2012,5,0.00,73.00,105.80
2012,6,0.00,19.00,44.00
2012,7,0.00,55.00,88.20
2012,8,0.00,3.00,6.00
2012,9,0.00,6.00,11.00
2012,10,0.00,16.00,25.40
2012,11,0.00,15.00,32.00
2012,12,0.00,56.00,109.60
2013,1,0.00,226.00,456.00
2013,2,0.00,66.00,329.00
2013,3,0.00,21.00,109.00
